time_s,event,details
2.00113,REPORT_RX_RSU,rsu=10,by=5,about=7,delta=0.010000
2.00128,REPORT_RX_RSU,rsu=10,by=9,about=3,delta=0.010000
2.00146,REPORT_RX_RSU,rsu=10,by=1,about=5,delta=0.010000
2.00174,REPORT_RX_RSU,rsu=10,by=7,about=0,delta=0.010000
2.15,BLOCK_COMMIT_ITEM,accused=2,delta=0.010000,trust=0.770000
2.15,BLOCK_COMMIT_ITEM,accused=5,delta=-0.050000,trust=0.760000
2.15,BLOCK_COMMIT_ITEM,accused=4,delta=0.010000,trust=0.810000
2.15,BLOCK_COMMIT_ITEM,accused=7,delta=0.010000,trust=0.810000
2.15,BLOCK_COMMIT_ITEM,accused=3,delta=0.010000,trust=0.810000
2.15,BLOCK_COMMIT_ITEM,accused=5,delta=0.010000,trust=0.770000
2.15,BLOCK_COMMIT_ITEM,accused=0,delta=0.010000,trust=0.820000
2.15,BLOCK_COMMIT_DONE,block=3,items=7,lat=0.050000
2.2,HO_START,veh=7,from=1,to=0,trust=0.810000
2.20026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=2100000000
2.20026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=2100000000
2.22,HO_DONE,veh=7,rsu=0,fast=1,delay=0.020000
2.50026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=2400000000
2.50026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=2400000000
2.80026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=2700000000
2.80026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=2700000000
3,REPORT_SENT,by=0,about=5,delta=-0.050000
3,REPORT_SENT,by=1,about=2,delta=-0.050000
3,REPORT_SENT,by=2,about=8,delta=-0.050000
3,REPORT_SENT,by=3,about=2,delta=0.010000
3,REPORT_SENT,by=4,about=5,delta=0.010000
3,REPORT_SENT,by=5,about=2,delta=-0.050000
3,REPORT_SENT,by=6,about=6,delta=0.010000
3,REPORT_SENT,by=7,about=5,delta=-0.050000
3,REPORT_SENT,by=8,about=8,delta=-0.050000
3,REPORT_SENT,by=9,about=9,delta=0.010000
3.00007,REPORT_RX_RSU,rsu=10,by=4,about=5,delta=0.010000
3.00025,REPORT_RX_RSU,rsu=10,by=7,about=5,delta=-0.050000
3.0005,REPORT_RX_RSU,rsu=10,by=8,about=8,delta=-0.050000
3.0007,REPORT_RX_RSU,rsu=10,by=1,about=2,delta=-0.050000
3.00086,REPORT_RX_RSU,rsu=10,by=9,about=9,delta=0.010000
3.00103,REPORT_RX_RSU,rsu=10,by=5,about=2,delta=-0.050000
3.00136,REPORT_RX_RSU,rsu=10,by=0,about=5,delta=-0.050000
3.10026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=3000000000
