nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,txAllVehicles,enableReplayCheck,enableSigCheck,enableReports,enableBlockchain,enableTrustGate,attackMode,maliciousRate,txData,rxVehData,rxRsuData,expectedRx,pdr_norm,avgDelay_s,throughput_bps,replayDrops,sigDrops,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,malFast,malFull,malReject,honFast,honFull,honReject,seed,avgBlockLatency_ms
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,18569.0,3378.0,32340.0,0.574181,0.00172319,546671.0,0.0,11375.0,9625.0,6551.0,71.0,6521.0,0.012,0.624228,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,15037.0,2734.0,32340.0,0.464966,0.0010398,442689.0,0.0,18733.0,15851.0,5225.0,71.0,5203.0,0.012,0.536387,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,21516.0,3912.0,32340.0,0.665306,0.0015793,633431.0,0.0,8359.0,7073.0,5343.0,71.0,5318.0,0.012,0.6682,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,26862.0,4884.0,32340.0,0.830612,0.000677549,790817.0,0.0,6370.0,5390.0,980.0,37.0,968.0,0.0241351,0.712141,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,24.1351
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,10747.0,1954.0,32340.0,0.332313,0.00380809,316392.0,0.0,17407.0,14729.0,12206.0,71.0,12160.0,0.012,0.492475,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,12263.0,2229.0,32340.0,0.37919,0.00113787,361023.0,0.0,21203.0,17941.0,5857.0,71.0,5835.0,0.012,0.492483,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,26411.0,4802.0,32340.0,0.816667,0.000743007,777540.0,0.0,6370.0,5390.0,1960.0,49.0,1920.0,0.0180204,0.712118,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18.0204
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,18788.0,3416.0,32340.0,0.580952,0.00173899,553119.0,0.0,10556.0,8932.0,6045.0,71.0,6031.0,0.012,0.624242,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,23474.0,4268.0,32340.0,0.72585,0.000840633,691075.0,0.0,9542.0,8074.0,3670.0,71.0,3655.0,0.012,0.668201,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12.0
