initialTrust,seed,handoverCount,fastCount,fullCount,rejectCount,fastRatio,fullRatio,rejectRatio,avgHandoverDelay_ms,meanEventTrust
0.75,3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,6,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,10,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.8,1,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,2,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,3,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,4,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,5,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,6,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,7,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,8,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,9,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.8,10,2.0,1.0,1.0,0.0,0.5,0.5,0.0,17.5,0.7050000000000001
0.85,1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,2,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,3,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,4,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,5,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,6,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,7,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,8,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,9,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.85,10,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.755
0.9,1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,2,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,3,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,4,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,5,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,6,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,7,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,8,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,9,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
0.9,10,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8049999999999999
